ImageNumber,ObjectNumber,Intensity_MeanIntensity_CD31,Intensity_MeanIntensity_DAPI,Intensity_MeanIntensity_IBA1,Intensity_MeanIntensity_PDPN,Intensity_MeanIntensity_aSMA,Location_Center_X,Location_Center_Y
1,1,0.016755867217268263,0.034942323029819096,0.002899063,0.053878382,0.012013574604170171,6479.049450549451,205.37362637362637
1,2,0.009964327,0.040689295,0,0.044527683,0.002875254,6202.16092,204.57471264367817
1,3,0.012844183,0.010053800290678533,0.054013014,0.056001326,0.046953781,6455.993197278912,208.6530612244898
1,4,0.033665883,0.015363662020536139,0.014464323624270036,0.058454611,0.066281249,6495.6375,216.875
1,5,0.060775777,0.009394082,0.001851331,0.056622382,0.010283282,6157.754385964912,222.86666666666667
1,6,0.004364096,0.025708860177316783,0,0.069651565,0.009035948,6615.716049382716,222.8148148148148
1,7,0.007895096,0.025752323572482683,0,0.055398976,0.028532014405602112,6465.920353982301,222.15929203539824
1,8,0.060109119,0.012152023477222216,0,0.098915425,0.004566646,6651.840425531915,230.48936170212767
1,9,0,0.007643543,6.0647062491625546e-05,0.06940148,0.07617647,6359.675,235.18333333333334
1,10,0,0.016424349,0.001698118,0.074157215,0.12678921543475655,6380.9,236.4
1,11,0,0.011917405226763258,0.004877572,0.058451642,0.004435231,6452.510638297872,234.80851063829786
1,12,0.00892967,0.010554667803595161,0.001508781,0.065127263,0.018529411592725212,6474.195121951219,235.41463414634146
1,13,0.036685805,0.018837667153377063,0.010661521,0.056166472174464514,0.069377107,6128.6942675159235,236.88535031847132
1,14,0.3253567049191112,0.009279425,0,0.049001160068880945,0.004058823,6006.885714285714,241.95238095238096
1,15,0.014223183093722476,0.021653014311003825,0,0.073531404,0.081012311,6293.232558139535,241.80232558139534
1,16,0,0.034424888861498665,0.003638824,0.067825684,0,6031.447619047619,248.96190476190475
1,17,0.11370894173735085,0.019073076876754195,0.00431268,0.047199097013583886,0.00209695,6000.851851851852,247.72222222222223
1,18,0.043860354480796324,0.020017272592551864,0.009155002,0.056752946,0.007740259,6068.675159235669,249.5700636942675
1,19,0.11779941713644398,0.003832767,0.003072784,0.049206660812099776,0.00929902,5958.322222222222,249.5222222222222
1,20,0.068628094,0.008926945,0.040252917,0.054980335304320886,0.029604462135968537,5983.358620689655,250.31034482758622
1,21,0.031616655,0.006404791,0,0.073632065,0.029190536997402493,6680.747826086957,248.4
1,22,0.24123686463015634,0.022146587822375434,0.000709456,0.056969138776075165,0.004311876,5942.786163522012,251.8176100628931
1,23,0.010654557899184776,0.036191373,0,0.054073376,0.004996695,6043.460674157303,251.85393258426967
1,24,0.19557979778790682,0.032207993090303394,0,0.049944512,0,5898.485294117647,253.5808823529412
1,25,0.22309670961844774,0.016532782565922322,0,0.056858379,0.001970408,5923.773006134969,252.90184049079755
1,26,0.000811226,0.004217331,0,0.079053318,0.015850461,6669.036144578313,254.36144578313252
1,27,0.068624182,0.008032291,0.002398625,0.048681086354822704,0.007067085,5962.146067415731,254.1198501872659
1,28,0.064367097,0.017040906840578674,2.5807260634734276e-05,0.059460862,0.000963705,5899.723404255319,264.4822695035461
1,29,0.10729850153820436,0.015066606,0.000328091,0.05814586,0.021111379,6794.196721311476,266.8442623
1,30,0.094924585,0.011013753336909063,0.026884485258008628,0.062959957,0.041927335,5980.270588235294,269.3176470588235
1,31,0.22603570728675973,0.006289126,0.000663432,0.065096357,0.011619271870023309,5880.237569060773,270.8121546961326
1,32,0.358254571,0.004997355,0,0.055427572,0.007971956,5816.732558139535,271.7093023255814
1,33,0,0.004964021,0.000253136,0.086374769,0.5059334981862618,6604.156521739131,279.53913043478263
1,34,0.13323617286500875,0.016038757230138832,0,0.051554994,0.002708978,5779.514619883041,279.67251461988303
1,35,0,0.013950536578876089,0.033367326,0.080305005,0.1237042176159415,6565.207547169812,281.9433962264151
1,36,0.064556441,0.019439485775286793,0.001936793,0.058648124,0.008102467,5772.392473,286.6505376344086
1,37,0,0.010867843,0.06189533,0.066704652,0.05094089,6596.0097087378645,287.19417475728153
1,38,0,0.006397395,0.027631392,0.064768847,0.057270444778165196,6622.666666666667,286.7479674796748
1,39,0.078865447,0.005650069,0.090659579,0.098529698,0.2500414784727061,6725.247863247863,291.5042735042735
1,40,0,0.019732281442402917,8.561938234111842e-05,0.083600843,0.06852249,6783.858823529412,293.88235294117646
1,41,0.000166663,0.015105866951554423,0.001260979,0.069020062,0.1260978443280674,6818.663366336634,294.65346534653463
1,42,0.20949966530889824,0.035175772,0.01899368,0.059317319,0.002707399,5745.318385650225,296.4775784753363
1,43,0.002019953,0.014338004123419523,0.000873318,0.058359744027256966,0.21305735481902957,6805.1,301.75
1,44,0.023362533310922768,0.016361683331001384,0.00260836,0.055971830011864676,0.089668141,5957.672566371682,300.8938053097345
1,45,0.1527146434910767,0.020709218486445025,0.011754358116855943,0.053762675544835235,0.008208204,5719.296052631579,302.2236842105263
1,46,0.017866543,0.042793718485259695,0,0.067057716,0.002722523,5924.083333333333,299.28508771929825
1,47,0.10049889298776786,0.037278371,0.005094353,0.058073283711241354,0.011906862786660592,5711.666666666667,309.8222222222222
1,48,0.33009319444600904,0.028023180878436606,0,0.058121337,0.001994485,5755.152777777777,306.99305555555554
1,49,0.032263136929256864,0.003963197,0.001962512,0.072639153,0.29254956989224706,6914.6292134831465,309.6179775280899
1,50,0.11452634303520123,0.047947285,0.00028302,0.061669536,0.005901961,5742.122222222222,311.2
1,51,0.023145294186241668,0.008375105,0.26290500564460545,0.057439557,0.32729969674657133,6068.198275862069,312.2758620689655
1,52,0.013168801,0.036552944,0.00054031,0.078920277,0.016788769874608877,5841.727272727273,320.2151515151515
1,53,0.17957999897474536,0.007880798,0.000724052,0.046351423,0.026896008133546125,5673.857142857143,316.7551020408163
1,54,0.010151825369978995,0.018235601547183757,0.061672433,0.068057775,0.2254093388124302,5965.3917525773195,314.70103092783506
1,55,0.07862475,0.016710593,0.012897096323792505,0.058346888,0.007192852,5734.594936708861,318.0253164556962
1,56,0.011458568154351718,0.005590177,0,0.051124462655868876,0.069429483,7059.373493975903,317.6024096385542
1,57,0.001518762,0.018559133,0.021668784343112344,0.070925529,0.11832817267850601,5946.8646616541355,317.05263157894734
1,58,0.006244478,0.009034162,0.023593662406182696,0.08304884,0.14305502950634447,5806.645161290323,320.1532258064516
1,59,0.005743003,0.005468623,0,0.051589087,0.045633218,7090.2588235294115,318.9764705882353
1,60,0,0.020128124598961544,0,0.052994033,0.016313149,7120.941176470588,324.7176470588235
1,61,0.344886461,0.026790098036424473,0.00080474,0.059903366,0.008106618,5629.759615384615,323.6057692307692
1,62,0,0.040495250132480426,0.00111144,0.054398319,3.876446095532952e-05,6327.535564853557,325.07531380753136
1,63,0.31738345469622053,0.029265781,0.000856194,0.069813992,0.004396194,5615.305882352941,330.63529411764705
1,64,0.49627540478299204,0.010489445055087268,0.019193513409077177,0.066626741,0.006981152,5636.612676056338,334.4577464788732
1,65,0.004236104,0.024283310099326025,0,0.071314459,0,6311.771523178808,328.4569536423841
1,66,0.011867753,0.007239342,0,0.058958425485300565,0.03535738,7180.535849056604,333.8716981132076
1,67,0.062479025,0.017214337,0.057958920331050955,0.058880681,0.090616057,5768.747747747748,333.34234234234236
1,68,0,0.010949704156889808,0,0.055735485,0.11445407798504983,7139.561320754717,333.97641509433964
1,69,0.386213616,0.023435682746895118,0.025213081163455737,0.074079048,0.014416643402923198,5590.8341232227485,340.77725118483414
1,70,0,0.00594733,0.004012675,0.055918590127401156,0.031707292422652245,7199.6506849315065,339.5
1,71,0,0.011264564806595444,2.9110589995980264e-05,0.055803924173116685,0.094969412,7120.856,342.688
1,72,0.000463717,0.007292954,0.000290705,0.055644045,0.087304326,7261.815426997246,345.26170798898073
1,73,0.003515741,0.003947694,0.3238552966909601,0.077348477,0.4623361875927901,5906.506329113924,348
1,74,0.025679799444994635,0.009398062,0.036677688,0.084384411,0.090278241,5707.852272727273,350.95454545454544
1,75,0,0.006112869,0.010070828797990903,0.085639375,0.3737417120473381,6918.429577464789,350.7323943661972
1,76,0.00119785,0.018759660966945497,0.000163543,0.061271455243564726,0.053124586,7300.146067415731,351.59550561797755
1,77,0,0.00238656,0,0.069054991,0.10832377702739658,7255.313559322034,353.95762711864404
1,78,0.23030068572621704,0.009759755,0,0.054840642,0.12693014716829307,5547.738095238095,354.92261904761904
1,79,0,0.015121753,4.384124999394618e-05,0.086502806,0.3483380556375866,5740.795180722892,358.13253012048193
1,80,0.018984519953566387,0.012844705982203771,0.044322512593974635,0.06632695,0.042678018,5765.669172932331,358.1578947368421
1,81,0.014575650230392643,0.003240194,0.000418256,0.059896211621576344,0.36064908432442394,5952.563218390805,355.4367816091954
1,82,0.007728331,0.003184884,0.1338583592709107,0.058211565556578665,0.3074445042835326,5975.358490566037,358.20754716981133
1,83,0.4299273427110165,0.008205263,0,0.055798344,0.10055294040590525,5522.995,363.99
1,84,0.005077937,0.014804533533751964,0.016483870809897782,0.081953643,0.078379412,5626.81,364.74
1,85,0,0.015275676,0.029429783964970785,0.055970357,0.033564241,7329.035087719299,362.7543859649123
1,86,0.040550784,0.036543362,0.001410972,0.089622241,0.007641807,5744.428571428572,365.2295918367347
1,87,0.003747193,0.027374867,0.010356651840510067,0.069790027,0.033689839,7331.167832167832,371.93706293706293
1,88,0,0.004969035,0.009727548,0.056323288,0.48546446933604703,5650.089108910891,377.33663366336634
1,89,0.039183346,0.005598353,0.085593218,0.10413012247946528,0.14181862512810361,5715.222222222223,378.6777777777778
1,90,0.032067054,0.015441530789699285,0.151813287,0.091410428,0.16639943025825965,5729.763440860215,381.18279569892474
1,91,0,0.016802127577830107,0,0.054841307,3.860294236801565e-05,7001.65,384.7875
1,92,0.052707016,0.017657888,0.016762065,0.085073982,0.18362049182516432,5607.032258064516,385.9548387096774
1,93,0,0.019368039,0,0.048727986700832844,0,7010.7266666666665,388.87333333333333
1,94,0.032736062,0.006982996,0.003181372,0.07839973,0.18347647068755968,5566.325714285715,389.6514285714286
1,95,0,0.003232622,0.013429884971647533,0.067540008,0.6010278859703811,5790.329896907217,392.3195876
1,96,0.044092953717336056,0.010810287643107586,0.033446853,0.087519154,0.3165441193850711,5589.508333333333,392.25
1,97,0.000526029,0.025232054967394408,0,0.071324391,0,5885.270833333333,394.2916666666667
1,98,0,0.012226041273276797,0.002226284,0.078798908,0.1154635135665976,7392.898734177215,394.9451476793249
1,99,0.022330797,0.007919143,0.2275732033472929,0.089358284,0.3415737636349795,5572.120967741936,398.81451612903226
1,100,0,0.024883812929074916,0,0.047079025,0,7031.222222222223,400.58730158730157
1,101,0.12346575296906775,0.00897147,0.029779798,0.065992951,0.18710446146841364,5544.063218390805,403.3448275862069
1,102,0,0.032662295184477615,0.000449237,0.050278647,0,7015.543209876543,400.2098765432099
1,103,0,0.012437899245367366,0,0.061953744,0.015693277239381354,7478.244897959184,405.40816326530614
1,104,0,0.022746759588064176,0.005404407,0.15232159766043432,0.004056735,6264.159763,410.0769230769231
1,105,0.002818301,0.020730768,0,0.11087398860416456,0,5874.735159817352,406.1004566210046
1,106,0,0.021177773,0.003660103,0.1597884988510295,0.003602941,6280.578947368421,414.2163742690058
1,107,0,0.002677102,0.40445812072397935,0.057433753,0.5348529361764944,5682.841269841269,410.515873
1,108,0.002529737,0.022593025078312453,4.6651586532019653e-05,0.11503239722651804,0.00262632,6409.346153846154,410.1068376068376
1,109,0,0.018340034,0.003054815,0.16312658125074742,0,6255.679012345679,418.9259259259259
1,110,0,0.034578962,0,0.047498691659252926,0,6974.261261261261,416.85585585585585
1,111,0.000275048,0.030930097,0,0.12767062560819528,3.0276817543541684e-05,5857.426470588235,419.9215686
