ImageNumber,ObjectNumber,Intensity_MeanIntensity_CD31,Intensity_MeanIntensity_DAPI,Intensity_MeanIntensity_IBA1,Intensity_MeanIntensity_PDPN,Intensity_MeanIntensity_aSMA,Location_Center_X,Location_Center_Y
1,1,0,0.014020830590058776,0.21802975127802177,0.012631382738404414,0.04650519,6387.141176470588,263.0705882352941
1,2,0,0.011406599638379505,0.24927580846591038,0.011633358656655293,0.040953895,6284.5675675675675,274.34234234234236
1,3,0,0.014900991792159006,0.26090783189082967,0.01476559,0.040182556,6551.873563218391,284.67816091954023
1,4,0,0.004715784,0.399274247,0.013206928696793815,0.022279412,6624.5952380952385,291.73809523809524
1,5,0,0.002926242,0.2822937979306801,0.00789323,0.056778879,6339.987951807229,293.3614457831325
1,6,0,0.003493155,0.458998442,0.006950767,0.079629559,6245.443037974684,299.73417721518985
1,7,0,0.008226536,0.4727005051626336,0.006311158,0.097977941,6414.190476190476,300.8452380952381
1,8,0,0.005217191,0.40250986766141766,0.008434978,0.052707862,6381.298076923077,306.9423076923077
1,9,0.012264000376065572,0.006279634,0.43866884449408167,0.032632009,0.21814705754319827,6069.628571428571,310.0095238095238
1,10,0.010618247657637053,0.003042194,0.43594488272844234,0.020068221598792867,0.12601172708894445,6086.987341772152,309.2911392405063
1,11,0.018137819837605536,0.014199721932866026,0.31420818421729774,0.047913509242366564,0.28907319006705007,6050.767441860465,311.16279069767444
1,12,0,0.005139731,0.34312873131642907,0.003130695,0.037399052,6456.406779661017,312.76271186440675
1,13,0.001102157,0.026361941,0.3923951392993331,0.011950012071922953,0.12774264690732318,6199.492857142857,316.00714285714287
1,14,0,0.005651795,0.2350840001970857,0.007015351,0.22316742232478745,6712.186813186813,327.2307692307692
1,15,0,0.006054072,0.3000103033640805,0.005212743,0.079930795,6733.705882352941,328.9764705882353
1,16,0,0.012483033707536671,0.4479935524193035,0.014688619225146785,0.19349391537921867,6584.850574712644,329.6896551724138
1,17,0,0.010252383345457899,0.30468491210443216,0.023564681810198156,0.12061693008640796,6621.552845528456,334.3008130081301
1,18,0,0.007740413,0.4357285997585246,0.00808108,0,6261.8421052631575,333.02255639097746
1,19,0,0.005574118,0.22656008994413745,0.004490887,0.067524509,6335.674603174603,339.1666666666667
1,20,0,0.016436559572060295,0.22653393166245156,0.011266076,0.19802580273903483,5829.698113207547,342.7641509433962
1,21,0.002902231,0.00748137,0.4216852794433462,0.054585217698958924,0.2377586191969699,5912.241379310345,347.6551724137931
1,22,0,0.003014294,0.3849917915350164,0.002525862,0.10460268399454871,6318.514619883041,351.6608187134503
1,23,0,0.004227271,0.27884722852193916,0.003256754,0.024756509,6526.139344262295,349.6803278688525
1,24,0,0.007744616,0.31984004241296615,0.001064765,0.000496957,6671.206896551724,352.5287356321839
1,25,0,0.005190605,0.49039850313412514,0.007142903,0.12099380635803467,5839.8105263157895,354.4736842105263
1,26,0.014294641,0.00355451,0.3968916867327477,0.046875296,0.3011029418668754,5991.797619047619,357.70238095238096
1,27,0.025647205,0.010877246259530978,0.4072495286366833,0.032432908251353386,0.1424736615631785,5722.574626865671,360.6119402985075
1,28,0,0.008272018,0.3643261183325837,0.003838221,0.037021162,5942.487804878048,362.0731707317073
1,29,0,0.004790444,0.45383884757757187,0.006495211,0.16435993205923893,5927.196721311476,364.0983606557377
1,30,0.000213075,0.006592614,0.31625522640121134,0.028170386246770998,0.2177010413459679,6070.291139240507,366.24050632911394
1,31,0.005589062,0.005699081,0.45695664547383785,0.019636006159998942,0.2544657602920779,5968.890625,366.1015625
1,32,0,0.006562218,0.5990662142560257,0.005419366,0.16406057742818153,6290.791045,373.4179104477612
1,33,0.085981899,0.010002108,0.40767229187556286,0.067332508,0.11903743276012722,5726.761363636364,376.6363636363636
1,34,0.001628994,0.014216302,0.4639500041482269,0.005784407,0.059357211,5835.177419354839,384.6290322580645
1,35,0.000185657,0.006640352,0.28144695264670777,0.009585145,0.14219506825868258,6171.419117647059,384.7720588235294
1,36,0,0.004254482,0.21045243288664256,0.001273643,0.067432525,7068.529411764706,382.36470588235295
1,37,0,0.003574938,0.21489972004602695,0.002142358,0.12771805222199736,6701.218390804598,395
1,38,7.193564819410826e-05,0.002245044,0.3752653436878553,0.005437306,0.19210407028818488,6358.205128205128,394.4188034188034
1,39,0,0.002622089,0.2640253795997093,0.001644747,0.072362228,6408.021052631579,394.7578947368421
1,40,0,0.005757099,0.5303914158728468,0.00279692,0.11186481271982641,6242.259036144578,395.0301204819277
1,41,0,0.003906294,0.4254326711521081,0.010179269309188669,0.22035982372926166,5989.666666666667,398.0496453900709
1,42,0,0.013070734664122213,0.44887622775886343,0.004701408,0.041795183897230755,6258.803109,399.63212435233163
1,43,0,0.011040784,0.448105222,0.003629964,0.033895631,6302.553398058252,401.6019417475728
1,44,0.019353127,0.006359369,0.30661714591196404,0.080177944,0.3183499490052967,5573.635593220339,399.47457627118644
1,45,0,0.009231956,0.32055497362978697,0.002033166,0.030762654,6867.085271317829,398.71317829457365
1,46,0.004343115,0.018723707,0.28389821837593515,0.00907887,0.049322681,5697.788461538462,398.50961538461536
